"","county....metstandard....percentms"
"1","Adams        0             43.8       "
"2","Adams        1             33.3       "
"3","Adams        1             41.7       "
"4","Asotin       0             50.0       "
"5","Asotin       0             69.8       "
"6","Asotin       1             72.2       "
"7","Benton       0             62.5       "
"8","Benton       1             65.8       "
"9","Benton       1             74.0       "
"10","Benton       0             55.6       "
"11","Benton       0             66.7       "
"12","Benton       0             66.7       "
"13","Benton       1             68.2       "
"14","Benton       1             62.7       "
"15","Chelan       0             70.0       "
"16","Chelan       0             62.5       "
"17","Chelan       1             65.4       "
"18","Chelan       0             62.1       "
"19","Chelan       0             54.5       "
"20","Chelan       0             50.0       "
"21","Chelan       0             57.4       "
"22","Clallam      1             66.2       "
"23","Clallam      0             63.2       "
"24","Clallam      0             77.8       "
"25","Clallam      0             48.1       "
"26","Clallam      0             28.1       "
"27","Clallam      1             42.9       "
"28","Clallam      0             46.7       "
"29","Clark        1             77.5       "
"30","Clark        0             58.1       "
"31","Clark        0             68.8       "
"32","Clark        1             71.9       "
"33","Clark        0             64.7       "
"34","Clark        1             60.0       "
"35","Clark        1             73.9       "
"36","Clark        0            100.0       "
"37","Clark        1             62.0       "
"38","Clark        1             66.4       "
"39","Clark        1             71.9       "
"40","Clark        0             60.5       "
"41","Clark        0             54.8       "
"42","Clark        0             60.7       "
"43","Clark        1             56.7       "
"44","Clark        0             68.4       "
"45","Clark        1             71.4       "
"46","Columbia     1             43.5       "
"47","Cowlitz      0             72.2       "
"48","Cowlitz      1             69.2       "
"49","Cowlitz      0             89.5       "
"50","Cowlitz      0             67.7       "
"51","Cowlitz      1             66.7       "
"52","Cowlitz      0             50.0       "
"53","Cowlitz      1             70.6       "
"54","Cowlitz      0             65.9       "
"55","Douglas      0             50.0       "
"56","Douglas      0             80.0       "
"57","Douglas      0             50.0       "
"58","Ferry        0             55.0       "
"59","Ferry        0             72.7       "
"60","Ferry        0             66.7       "
"61","Franklin     0             64.3       "
"62","Franklin     0             53.3       "
"63","Franklin     1             65.7       "
"64","Franklin     0             53.8       "
"65","Garfield     0             73.3       "
"66","Grant        0             57.6       "
"67","Grant        0             56.4       "
"68","Grant        0             76.0       "
"69","Grant        1             62.5       "
"70","Grant        0             31.6       "
"71","Grant        0             39.1       "
"72","Grant        0             77.8       "
"73","Grant        1             56.1       "
"74","Grant        0             77.8       "
"75","Grant        0             57.9       "
"76","Grays Harbor 0             51.7       "
"77","Grays Harbor 0             43.8       "
"78","Grays Harbor 0             53.8       "
"79","Grays Harbor 0             31.8       "
"80","Grays Harbor 1             67.6       "
"81","Grays Harbor 0             75.6       "
"82","Grays Harbor 0             42.9       "
"83","Grays Harbor 1             68.0       "
"84","Grays Harbor 0             68.8       "
"85","Island       0             60.5       "
"86","Island       1             73.1       "
"87","Island       1             61.0       "
"88","Jefferson    1             45.5       "
